App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Minhas Despesas Gastos Contas,6502218501,iphone,gastos contas,br,🇧🇷 Brazil,,2026-05-23T15:42:26Z,3,0,5,57,231,
Minhas Despesas Gastos Contas,6502218501,iphone,contas despesas,br,🇧🇷 Brazil,,2026-05-23T12:48:11Z,4,0,5,48,225,
Minhas Despesas Gastos Contas,6502218501,iphone,despesas gastos,br,🇧🇷 Brazil,,2026-05-23T15:42:20Z,6,0,5,63,230,
Minhas Despesas Gastos Contas,6502218501,iphone,minhas contas,br,🇧🇷 Brazil,,2026-05-23T12:35:42Z,17,0,5,50,219,
Minhas Despesas Gastos Contas,6502218501,iphone,meus gastos,br,🇧🇷 Brazil,,2026-05-23T12:47:57Z,19,0,5,60,229,
Minhas Despesas Gastos Contas,6502218501,iphone,financeiro de despesa,br,🇧🇷 Brazil,,2026-05-23T15:42:24Z,20,0,5,54,221,
Minhas Despesas Gastos Contas,6502218501,iphone,cofrinho,br,🇧🇷 Brazil,,2026-05-23T12:38:23Z,23,0,51,17,49,
Minhas Despesas Gastos Contas,6502218501,iphone,minhas finanças,br,🇧🇷 Brazil,,2026-05-23T15:42:35Z,23,0,5,58,218,
Minhas Despesas Gastos Contas,6502218501,iphone,cofrinho digital,br,🇧🇷 Brazil,,2026-05-23T12:43:48Z,26,0,5,34,50,
Minhas Despesas Gastos Contas,6502218501,iphone,minhas financas,br,🇧🇷 Brazil,,2026-05-23T03:09:37Z,26,0,57,58,216,
Minhas Despesas Gastos Contas,6502218501,iphone,minhas economias,br,🇧🇷 Brazil,,2026-05-23T12:35:47Z,30,0,61,53,77,
Minhas Despesas Gastos Contas,6502218501,iphone,minhas despesas,br,🇧🇷 Brazil,,2026-05-23T12:48:03Z,31,0,57,53,222,
Minhas Despesas Gastos Contas,6502218501,iphone,despesas,br,🇧🇷 Brazil,,2026-05-23T12:48:02Z,33,0,52,53,218,
Minhas Despesas Gastos Contas,6502218501,iphone,controle contas,br,🇧🇷 Brazil,,2026-05-23T12:44:48Z,35,1,5,60,225,
Minhas Despesas Gastos Contas,6502218501,iphone,expenses,br,🇧🇷 Brazil,,2026-05-23T12:35:28Z,39,7,30,45,240,
Minhas Despesas Gastos Contas,6502218501,iphone,gastos diarios,br,🇧🇷 Brazil,,2026-05-23T03:09:34Z,39,0,9,63,242,
Minhas Despesas Gastos Contas,6502218501,iphone,gastos,br,🇧🇷 Brazil,,2026-05-23T12:47:57Z,40,-3,34,63,237,
Minhas Despesas Gastos Contas,6502218501,iphone,personal finance,br,🇧🇷 Brazil,,2026-05-23T03:09:33Z,40,0,8,40,226,
Minhas Despesas Gastos Contas,6502218501,iphone,personal,br,🇧🇷 Brazil,,2026-05-23T03:09:35Z,41,0,48,58,223,
Minhas Despesas Gastos Contas,6502218501,iphone,despesa,br,🇧🇷 Brazil,,2026-05-23T15:42:19Z,43,0,5,54,216,
