Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 12.7	FR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 13.7	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 15.5	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 15.5	US	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 15.6	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 15.6	CA	4	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 15.7	BR	5	3
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 26.0	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		Desktop	macOS 26.1	BR	3	3
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 18.3	BR	3	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 18.5	KG	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 18.5	PT	3	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 18.6	BR	5	2
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.0	BR	5	2
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.0	KG	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.1	BR	7	5
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.1	LY	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.1	MX	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.1	US	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.2	BR	10	5
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.2	IN	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.2	IT	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.2	PL	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store browse		iPhone	iOS 26.2	US	2	2
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.14.6	US	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.5	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.7	BR	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.7	GB	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.7	MX	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.7	TR	5	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 10.15.7	US	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	BR	4	4
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	CA	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	DE	2	2
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	ES	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	GH	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	KR	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	MX	6	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 11.7	US	2	2
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.4	MX	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.5	PH	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.5	US	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.7	AT	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.7	AU	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.7	BB	2	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.7	BE	1	1
2025-12-29	My Expenses: Personal Finances	6502218501	Impression	No page	App Store search		Desktop	macOS 12.7	BR	11	8
