App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsbuch kostenlos,de,🇩🇪 Germany,our name token 'Haushaltsbuch' + universal qualifier,2026-08-24,54,0,61,60,221,candidate;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,kontobuch,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,59,0,5,45,207,candidate
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsplaner,de,🇩🇪 Germany,competitor subtitle — Monefy 'Haushaltsplaner: Geld Sparen!' (#5),2026-08-24,132,0,35,55,237,candidate;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsbuch familie,de,🇩🇪 Germany,competitor subtitle — Monee 'Familien' + our name token,2026-08-24,176,0,5,58,224,candidate;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,meine ausgaben,de,🇩🇪 Germany,competitor name — Block21 'Meine Ausgaben' (#10 ausgaben),2026-08-24,195,0,5,47,235,candidate;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsbuch app,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,197,0,5,60,231,candidate
Ausgaben - Haushaltsbuch,6502218501,iphone,kostenplaner,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,211,0,5,51,240,candidate
Ausgaben - Haushaltsbuch,6502218501,iphone,money manager,de,🇩🇪 Germany,competitor name — Realbyte 'Haushaltsbuch : Money Manager' (#3),2026-08-24,OUT,0,59,59,227,candidate;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,ausgaben tracker,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,55,54,235,candidate
Ausgaben - Haushaltsbuch,6502218501,iphone,finanzplaner,de,🇩🇪 Germany,competitor subtitle — Fleur 'Haushaltsbuch & Finanzplaner' (#7),2026-08-24,OUT,0,51,54,238,candidate
