App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Meus Gastos: Casal e Despesas,6502218501,iphone,despesas compartilhadas casal,br,🇧🇷 Brazil,natural query — name token 'Despesas'+'compartilhados'+'Casal',2026-08-24,2,0,5,5,28,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,app de gastos casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,4,0,5,5,89,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,contas compartilhadas casal,br,🇧🇷 Brazil,natural query — our tokens 'contas'+'compartilhados'+name token 'Casal',2026-08-24,4,0,5,5,24,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,despesas compartilhadas,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,9,0,5,5,89,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,despesas diárias,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,19,0,5,41,243,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,contas compartilhadas,br,🇧🇷 Brazil,composition of our live tokens 'contas'+'compartilhados',2026-08-24,26,0,5,19,83,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,personal finance,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,64,8,8,38,246,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,gestor de despesas,br,🇧🇷 Brazil,competitor name — 'Gestor de Despesas - Orçamento' (#8),2026-08-24,135,0,5,48,250,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos familiares,br,🇧🇷 Brazil,competitor subtitle — Balance 'Orçamento e gastos familiares' (#2),2026-08-24,142,0,5,23,245,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos diários,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,247,0,5,52,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,caixa,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,85,87,240,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,calculadora,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,72,51,239,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,cartao de credito,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,71,71,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,controle,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,69,70,242,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,offline,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,69,64,244,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,icloud,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,68,60,243,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,mercado,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,67,78,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,mobills,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,65,49,44,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,pix,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,65,85,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,wallet,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,62,51,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,widget,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,61,65,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,casa,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,60,68,246,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,planilha financeira,br,🇧🇷 Brazil,composition of our live token 'planilha' + niche head,2026-08-24,OUT,0,59,62,141,candidate;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,senha,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,58,44,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,conta,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,57,90,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,organizador financeiro,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,57,59,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,controle financeiro pessoal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,55,61,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,money,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,55,49,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,controle financeiro,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,54,53,249,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,dinheiro,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,53,58,249,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,controle de gastos,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,53,60,249,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,cartão de crédito,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,52,73,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,cofrinho,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,51,23,78,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,simples,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,51,40,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,receitas,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,50,41,248,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,finance,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,48,52,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,personal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,48,59,245,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,gerenciador,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,46,56,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,budget,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,43,38,246,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos diarios,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,31,52,249,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,financeiro,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,30,57,247,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,expenses,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,30,19,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,alimentação,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,27,70,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,economize,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,24,42,250,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,organizador,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,24,60,249,candidate
Meus Gastos: Casal e Despesas,6502218501,iphone,cartões,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,22,83,247,candidate
