App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Ausgaben - Haushaltsbuch,6502218501,iphone,ausgaben verwalten,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,12,0,5,47,223,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,monatsbudget,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,23,0,9,13,212,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsbuch ausgaben,de,🇩🇪 Germany,competitor name — Monee 'Haushaltsbuch Ausgaben Monee' (#1 both heads),2026-08-24,31,0,5,43,230,pool;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,haushaltsbuch,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,59,0,61,60,206,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,fixkosten,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,65,0,12,44,186,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,haushalt,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,97,0,24,51,228,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,einnahmen ausgaben,de,🇩🇪 Germany,"competitor subtitle — MoneyStats 'Budget, Einnahmen & Ausgaben' (#2)",2026-08-24,119,0,7,52,222,pool;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,ausgaben,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,122,0,48,56,219,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,bilanz,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,176,0,8,42,198,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,finanzen,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,58,65,227,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,planer,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,58,60,224,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,geld,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,52,70,228,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,budget,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,52,55,229,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,geld sparen,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,52,57,225,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,budget planer,de,🇩🇪 Germany,competitor subtitle — Komorebi 'Budget-Planer' (#5),2026-08-24,OUT,0,51,54,232,pool;new-this-iter
Ausgaben - Haushaltsbuch,6502218501,iphone,sparen,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,50,52,231,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,konto,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,22,67,181,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,einkauf,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,20,73,220,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,geld verwalten,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,8,64,231,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,kosten,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,5,60,237,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,einnahmen,de,🇩🇪 Germany,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,OUT,0,5,42,229,pool
Ausgaben - Haushaltsbuch,6502218501,iphone,geld sparen budget,de,🇩🇪 Germany,competitor subtitle — Komorebi 'Geld sparen mit Budget-Planer' (#5),2026-08-24,OUT,0,5,49,229,pool;new-this-iter
