App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos mensais casal,br,🇧🇷 Brazil,natural query — name tokens 'Gastos'+'Casal' + live token 'mensais',2026-08-24,1,0,5,10,4,pool;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos compartilhados,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,3,0,5,11,81,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos do casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,4,0,5,5,89,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,financas do casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,4,0,5,13,109,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,economias casal,br,🇧🇷 Brazil,composition of our live token 'economias' + name token 'Casal',2026-08-24,4,0,5,5,26,pool;new-this-iter
Meus Gastos: Casal e Despesas,6502218501,iphone,gastos casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,5,0,5,9,91,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,contas do casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,7,0,5,9,84,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,orcamento do casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,11,0,5,9,92,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,despesas gastos,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,16,0,5,45,246,pool
Meus Gastos: Casal e Despesas,6502218501,iphone,despesas do casal,br,🇧🇷 Brazil,pre-existing Astro tracking (iter-01/iter-02 pool),2026-08-24,26,0,5,5,83,pool
