Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Composition,Top of SERP
gastos,meus gastos diarios,natural query pt-BR 'meus X diarios',5,31,6,9,needs: diarios,
gastos,gastos do cartao,natural query pt-BR 'X do cartao',5,40,72,235,FREE - all words are live field tokens,
gastos,controle de gastos e orcamento,competitor SERP n-gram - Organizze subtitle (#7 br 'controle de gastos'),5,19,142,248,needs: controle,
gastos,gastos juntos,natural query pt-BR 'X juntos',5,9,OUT,27,needs: juntos,
gastos,dividir gastos,natural query pt-BR 'dividir X',8,17,OUT,246,needs: dividir,
gastos,dividir gastos casal,natural query pt-BR 'dividir X casal',5,9,OUT,32,needs: dividir,
gastos,dividir gastos amigos,natural query pt-BR 'dividir X com amigos',5,17,OUT,104,needs: dividir+amigos,
gastos,gastos em grupo,natural query pt-BR 'X em grupo',5,5,OUT,28,needs: grupo,
gastos,gastos grupo,natural query pt-BR 'X grupo',5,9,OUT,163,needs: grupo,
gastos,gastos da casa,natural query pt-BR 'X da casa',5,11,OUT,86,needs: casa,
gastos,gastos namorados,natural query pt-BR 'X namorados',5,5,OUT,5,needs: namorados,
gastos,app de gastos,natural query pt-BR 'app de X',5,58,OUT,250,needs: app,
gastos,gastos do mes,natural query pt-BR 'X do mes',5,54,OUT,250,needs: mes,
gastos,gastos por categoria,natural query pt-BR 'X por categoria',5,5,OUT,46,needs: categoria,
gastos,gastos com mercado,natural query pt-BR 'X com mercado',5,12,OUT,9,needs: mercado,
gastos,controlar gastos,natural query pt-BR 'controlar X',10,57,OUT,250,needs: controlar,
gastos,gastos e receitas,natural query pt-BR 'X e receitas',5,34,OUT,146,needs: receitas,
gastos,gastos simples,natural query pt-BR 'X simples',5,39,OUT,167,needs: simples,
gastos,gastos offline,natural query pt-BR 'X offline',5,15,OUT,133,needs: offline,
gastos,gastos gratis,natural query pt-BR 'X gratis',5,60,OUT,248,needs: gratis,
gastos,resumo de gastos,natural query pt-BR 'resumo de X',5,5,OUT,6,needs: resumo,
gastos,relatorio de gastos,natural query pt-BR 'relatorio de X',5,15,OUT,57,needs: relatorio,
gastos,calculadora de gastos,Astro extract_competitors_keywords(seed='contas compartilhadas') -> token 'calculadora'/'rastreador' recombined with core word,5,50,OUT,250,needs: calculadora,
gastos,controle de gastos ia,competitor SERP n-gram - Pierre: Controle de gastos IA (#4 br 'controle de gastos'),5,23,OUT,168,needs: controle+ia,
gastos,controle financeiro e gastos,competitor SERP n-gram - Minhas Economias subtitle (#10),5,23,OUT,243,needs: controle+financeiro,
gastos,fleur gastos,competitor SERP n-gram - Controle de Gastos - Fleur (#5) - brand+core combo,13,41,OUT,10,needs: fleur,
casal,jogo casal,Astro suggestions (store br) + extract_competitors_keywords(seed='casal'),49,54,173,249,needs: jogo,
casal,dinheiro do casal,natural query pt-BR 'dinheiro do X',5,5,OUT,51,needs: dinheiro,
casal,dinheiro a dois,natural query pt-BR 'dinheiro a dois',5,18,OUT,6,needs: dinheiro+dois,
casal,poupanca do casal,natural query pt-BR 'poupanca do X',5,5,OUT,22,needs: poupanca,
casal,meta financeira casal,natural query pt-BR 'meta financeira X',5,9,OUT,10,needs: meta+financeira,
casal,quiz casal,extract_competitors_keywords(seed='casal'),14,36,OUT,147,needs: quiz,
despesas,app de despesas casal,natural query pt-BR 'app de X casal',5,13,10,83,needs: app,
despesas,despesas cartao,natural query pt-BR 'X cartao',5,46,22,143,FREE - all words are live field tokens,
despesas,despesas casal,natural query pt-BR 'X casal',5,13,40,85,FREE - all words are live field tokens,
despesas,gestor de orcamento e despesas,competitor SERP n-gram - Gestor de Orcamento e Despesas (#9),5,56,92,248,needs: gestor,
despesas,despesas juntos,natural query pt-BR 'X juntos',5,7,OUT,19,needs: juntos,
despesas,dividir despesas,natural query pt-BR 'dividir X',5,21,OUT,231,needs: dividir,
despesas,dividir despesas casal,natural query pt-BR 'dividir X casal',5,9,OUT,32,needs: dividir,
despesas,despesas em grupo,natural query pt-BR 'X em grupo',5,15,OUT,37,needs: grupo,
despesas,controle de despesas casal,natural query pt-BR 'controle de X casal',5,11,OUT,44,needs: controle,
despesas,despesas da casa,natural query pt-BR 'X da casa',5,5,OUT,85,needs: casa,
despesas,app de despesas,natural query pt-BR 'app de X',5,48,OUT,249,needs: app,
despesas,despesas do mes,natural query pt-BR 'X do mes',5,21,OUT,32,needs: mes,
despesas,anotar despesas,natural query pt-BR 'anotar X',5,43,OUT,250,needs: anotar,
despesas,despesas casa,natural query pt-BR 'X casa',5,47,OUT,249,needs: casa,
despesas,controle de despesas mensais,natural query pt-BR 'controle de X mensais',5,37,OUT,54,needs: controle,
despesas,calculadora de despesas,Astro extract_competitors_keywords(seed='contas compartilhadas') -> token 'calculadora'/'rastreador' recombined with core word,5,37,OUT,90,needs: calculadora,
despesas,rastreador de despesas,Astro extract_competitors_keywords(seed='contas compartilhadas') -> token 'calculadora'/'rastreador' recombined with core word,5,19,OUT,234,needs: rastreador,
despesas,gestor de despesas orcamento,competitor SERP n-gram - Gestor de Despesas - Orcamento (#8),5,44,OUT,140,needs: gestor,
despesas,controle de despesas do casal,competitor SERP n-gram - CasalPro subtitle (#6),5,11,OUT,44,needs: controle,
finanças,financas compartilhadas,natural query pt-BR 'X compartilhadas',5,19,10,112,needs: compartilhadas,
finanças,financas casal,natural query pt-BR 'X casal',5,37,18,131,FREE - all words are live field tokens,
finanças,financas juntos,natural query pt-BR 'X juntos',5,39,OUT,61,needs: juntos,
finanças,financas a dois,natural query pt-BR 'X a dois',5,19,OUT,15,needs: dois,
finanças,app de financas para casal,natural query pt-BR 'app de X para casal',5,5,OUT,5,needs: app,
finanças,financas simples,natural query pt-BR 'X simples',5,17,OUT,250,needs: simples,
finanças,app de financas para casais,competitor SERP n-gram - Couple Finance subtitle (#7),5,62,OUT,26,needs: app+casais,
pessoais,despesas pessoais casal,natural query pt-BR 'despesas X casal',5,11,1,11,FREE - all words are live field tokens,
pessoais,financas pessoais casal,natural query pt-BR 'financas X casal',5,11,2,13,FREE - all words are live field tokens,
pessoais,financas pessoais e familiares,competitor SERP n-gram - MoneyNote subtitle (#2 br 'controle de gastos'),5,39,51,211,needs: familiares,
pessoais,gastos pessoais a dois,competitor SERP n-gram - dividi subtitle (#5),5,39,OUT,38,needs: dois,
compartilhados,gastos compartilhados em casal,competitor SERP n-gram - Orcamento a Dois - Manebo subtitle (#1 br 'gastos do casal'),5,5,4,31,FREE - all words are live field tokens,
compartilhados,carteira compartilhada,natural query pt-BR 'carteira X',5,11,OUT,11,needs: carteira+compartilhada,
contas,contas casal,natural query pt-BR 'X casal',5,9,7,84,FREE - all words are live field tokens,
contas,contas juntos,natural query pt-BR 'X juntos',5,21,OUT,23,needs: juntos,
contas,dividir contas casal,natural query pt-BR 'dividir X casal',5,9,OUT,33,needs: dividir,
contas,dividir contas amigos,natural query pt-BR 'dividir X com amigos',5,11,OUT,109,needs: dividir+amigos,
contas,contas em grupo,natural query pt-BR 'X em grupo',5,24,OUT,34,needs: grupo,
contas,contas grupo,natural query pt-BR 'X grupo',5,37,OUT,181,needs: grupo,
contas,contas a dois,natural query pt-BR 'X a dois',5,37,OUT,23,needs: dois,
contas,controle de contas casal,natural query pt-BR 'controle de X casal',5,11,OUT,32,needs: controle,
contas,contas da casa,natural query pt-BR 'X da casa',5,21,OUT,250,needs: casa,
contas,contas a pagar casal,natural query pt-BR 'X a pagar casal',5,19,OUT,19,needs: pagar,
contas,contas do mes,natural query pt-BR 'X do mes',5,42,OUT,250,needs: mes,
contas,contas de casa,natural query pt-BR 'X de casa',5,41,OUT,166,needs: casa,
contas,contas fixas,natural query pt-BR 'X fixas',5,30,OUT,29,needs: fixas,
contas,organizar contas,natural query pt-BR 'organizar X',5,46,OUT,250,needs: organizar,
contas,contas mensais,natural query pt-BR 'X mensais',5,50,OUT,250,FREE - all words are live field tokens,
economias,economias do casal,natural query pt-BR 'X do casal',5,5,4,26,FREE - all words are live field tokens,
economias,economia do casal,natural query pt-BR 'X do casal (singular)',5,5,4,26,needs: economia,
economias,economias mensais,natural query pt-BR 'X mensais',5,39,14,23,FREE - all words are live field tokens,
planilha,planilha compartilhada,natural query pt-BR 'X compartilhada',5,29,1,13,needs: compartilhada,
planilha,planilha casal,natural query pt-BR 'X casal',5,7,2,14,FREE - all words are live field tokens,
planilha,planilha do casal,natural query pt-BR 'X do casal',5,5,2,12,FREE - all words are live field tokens,
planilha,planilha de gastos mensais,natural query pt-BR 'X de gastos mensais',5,54,101,119,FREE - all words are live field tokens,
planilha,planilha de contas,natural query pt-BR 'X de contas',5,45,OUT,249,FREE - all words are live field tokens,
planilha,planilha de orcamento,natural query pt-BR 'X de orcamento',5,50,OUT,243,FREE - all words are live field tokens,
planilha,planilha mensal,natural query pt-BR 'X mensal',5,49,OUT,248,needs: mensal,
orçamento,orcamento compartilhado,natural query pt-BR 'X compartilhado',5,13,11,68,needs: compartilhado,
orçamento,orcamento casal,natural query pt-BR 'X casal',5,9,15,92,FREE - all words are live field tokens,
orçamento,orcamento juntos,natural query pt-BR 'X juntos',5,5,OUT,23,needs: juntos,
orçamento,orcamento da casa,natural query pt-BR 'X da casa',5,21,OUT,103,needs: casa,
orçamento,orcamento mensal casal,natural query pt-BR 'X mensal casal',5,5,OUT,6,needs: mensal,
orçamento,orcamento simples,natural query pt-BR 'X simples',5,19,OUT,112,needs: simples,
orçamento,orcamento por categoria,natural query pt-BR 'X por categoria',5,5,OUT,48,needs: categoria,
orçamento,app de orcamento,natural query pt-BR 'app de X',5,48,OUT,250,needs: app,
orçamento,orcamento domestico,natural query pt-BR 'X domestico',5,42,OUT,250,needs: domestico,
orçamento,orcamento e gastos familiares,competitor SERP n-gram - Despesas do Casal - Balance subtitle (#2),5,15,OUT,50,needs: familiares,
diário,diario de despesas,natural query pt-BR 'X de despesas',5,15,32,139,FREE - all words are live field tokens,
diário,diario financeiro,natural query pt-BR 'X financeiro',5,21,OUT,68,needs: financeiro,
diário,diario de compras,natural query pt-BR 'X de compras',5,15,OUT,90,needs: compras,
cartão,cartao casal,natural query pt-BR 'X casal',5,33,9,29,FREE - all words are live field tokens,
cartão,controle cartao credito,natural query pt-BR 'controle X credito',5,70,OUT,57,needs: controle+credito,
cartão,gastos cartao credito,natural query pt-BR 'gastos X credito',5,49,OUT,123,needs: credito,
cartão,limite do cartao,natural query pt-BR 'limite do X',5,72,OUT,231,needs: limite,
dívidas,dividas do casal,natural query pt-BR 'X do casal',5,9,3,41,FREE - all words are live field tokens,
dívidas,minhas dividas,natural query pt-BR 'minhas X',5,39,57,70,FREE - all words are live field tokens,
dívidas,pagar dividas,natural query pt-BR 'pagar X',5,17,OUT,125,needs: pagar,
dívidas,quitar dividas,natural query pt-BR 'quitar X',5,13,OUT,29,needs: quitar,
fatura,faturas mensais,natural query pt-BR 'X mensais',5,5,5,9,needs: faturas,
fatura,fatura do cartao,natural query pt-BR 'X do cartao',5,68,215,247,FREE - all words are live field tokens,
mensais,despesas mensais casal,natural query pt-BR 'despesas X casal',5,10,1,4,FREE - all words are live field tokens,
mensais,contas mensais casal,natural query pt-BR 'contas X casal',5,15,1,2,FREE - all words are live field tokens,
mensais,relatorio mensal gastos,natural query pt-BR 'relatorio X gastos',5,5,OUT,2,needs: relatorio+mensal,
mensais,assinaturas mensais,natural query pt-BR 'assinaturas X',5,5,OUT,21,needs: assinaturas,
mensais,controle de assinaturas,natural query pt-BR 'controle de assinaturas (recurring/mensais intent)',5,7,OUT,237,needs: controle+assinaturas,
minhas,minhas financas controle,competitor SERP n-gram - Minhas Financas: Controle e IA (#6),5,37,OUT,106,needs: controle,
