Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Composition,Top of SERP
ausgaben,ausgaben kostenlos,natural query de-DE 'X kostenlos',5,52,137,246,needs: kostenlos,
ausgaben,ausgaben budget,natural query de-DE 'X budget',5,50,172,235,FREE - all words are live field tokens,
ausgaben,ausgaben planer,natural query de-DE 'X planer',5,47,202,228,FREE - all words are live field tokens,
ausgaben,ausgaben kontrolle,natural query de-DE 'X kontrolle',5,40,214,229,needs: kontrolle,
ausgaben,ausgaben kategorien,natural query de-DE 'X kategorien',5,5,OUT,52,needs: kategorien,
ausgaben,ausgaben statistik,natural query de-DE 'X statistik',5,11,OUT,49,needs: statistik,
ausgaben,ausgaben einfach,natural query de-DE 'X einfach',5,15,OUT,183,needs: einfach,
ausgaben,ausgaben paare,natural query de-DE 'X fuer paare',5,36,OUT,108,needs: paare,
ausgaben,ausgaben wg,natural query de-DE 'X wg',5,46,OUT,151,needs: wg,
ausgaben,gemeinsame ausgaben paare,natural query de-DE 'gemeinsame X paare',5,7,OUT,36,needs: gemeinsame+paare,
ausgaben,ausgaben zu zweit,natural query de-DE 'X zu zweit',5,5,OUT,1,needs: zweit,
ausgaben,ausgaben dokumentieren,natural query de-DE 'X dokumentieren',5,5,OUT,2,needs: dokumentieren,
ausgaben,wg ausgaben,Astro extract_competitors_keywords(seed='gemeinsame ausgaben') -> token recombined with core word,5,47,OUT,152,needs: wg,
ausgaben,ausgaben manager haushaltsbuch,competitor SERP n-gram - Ausgaben Manager Haushaltsbuch (#8),5,57,OUT,227,needs: manager,
ausgaben,ausgaben paare familien,"competitor SERP n-gram - Monee subtitle 'Fuer Singles, Paare & Familien' (#1 both de SERPs)",5,15,OUT,45,needs: paare+familien,
haushaltsbuch,haushaltsbuch monatlich,natural query de-DE 'X monatlich',5,11,34,105,needs: monatlich,
haushaltsbuch,haushaltsbuch budget ausgaben,competitor SERP n-gram - Haushaltsbuch MoneyControl subtitle (#6 de 'haushaltsbuch'),5,52,89,234,FREE - all words are live field tokens,
haushaltsbuch,haushaltsbuch finanzplaner,competitor SERP n-gram - Ausgaben Budget Planner Fleur subtitle (#7),5,57,124,229,needs: finanzplaner,
