Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6502218501,08/23/2026,,Finance, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/23/2026, , , , , ,F1, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-08-23
6502218501,08/23/2026,,Finance, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/23/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,2,45.2.0,2026-08-23
6502218501,08/23/2026,,Finance, ,FR, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPad,08/23/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.2.0,2026-08-23
6502218501,08/23/2026,,Finance, ,IT, ,EUR,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/23/2026, , , , , ,F1, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-08-23
6502218501,08/23/2026,,Finance, ,ID, ,IDR,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/23/2026, , , , , ,F1, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-08-23
6502218501,08/22/2026,,Finance, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/22/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-08-22
6502218501,08/22/2026,,Finance, ,TR, ,TRY,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/22/2026, , , , , ,F1, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-08-22
6502218501,08/22/2026,,Finance, ,FR, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/22/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,2,45.2.0,2026-08-22
6502218501,08/22/2026,,Finance, ,CA, ,CAD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/22/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.2.0,2026-08-22
6502218501,08/22/2026,,Finance, ,CH, ,CHF,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/22/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.2.0,2026-08-22
6502218501,08/22/2026,,Finance, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/22/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.2.0,2026-08-22
6502218501,08/21/2026,,Finance, ,NP, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/21/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.2.0,2026-08-21
